SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,6,5,critical,Same Label,Glass,,,Yes,0,R,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,10,6,critical,Different Label,Horse,,,No,1,L,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,3,7,critical,Same Label,Chicken,,,Yes,0,R,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,7,8,critical,Different Label,Glass,,,No,1,L,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,11,9,critical,Same Label,Horse,,,Yes,0,R,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,4,10,critical,Different Label,Chicken,,,No,1,R,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,8,11,critical,Same Label,Glass,,,Yes,0,L,2,No,,
L061315-GL,M,MUS,PP,2015,6,13,2011,8,30,45,3.786757991,3,Yes,0,Non-Polysemous,1A,12,12,critical,Different Label,Horse,,,No,1,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,A,,training,Same Label,,,,No,1,L,1,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,B,,training,Different Label,,,,No,1,L,1,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,1,1,critical,Different Label,Chicken,regular,animate,No,0,R,2,No,,
