SubjNo,Gender,Age,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
3,F,unknown,1A (not counterbalanced),11,Horse,11,Unambiguous,Same,Y,0,
3,F,unknown,1A (not counterbalanced),12,Horse,12,Unambiguous,Different,Y,0,
4,F,unknown,1A (not counterbalanced),1,Chicken,1,Polysemous,Same,Y,1,
4,F,unknown,1A (not counterbalanced),2,Chicken,2,Polysemous,Different,Y,1,
4,F,unknown,1A (not counterbalanced),3,Chicken,3,Polysemous,Same,Y,1,
4,F,unknown,1A (not counterbalanced),4,Chicken,4,Polysemous,Different,Y,1,
4,F,unknown,1A (not counterbalanced),5,Glass,5,Polysemous,Different,Y,1,
4,F,unknown,1A (not counterbalanced),6,Glass,6,Polysemous,Same,N,0,
4,F,unknown,1A (not counterbalanced),7,Glass,7,Polysemous,Different,Y,1,
4,F,unknown,1A (not counterbalanced),8,Glass,8,Polysemous,Same,Y,1,
4,F,unknown,1A (not counterbalanced),9,Horse,9,Polysemous,Same,Y,1,
4,F,unknown,1A (not counterbalanced),10,Horse,10,Polysemous,Different,Y,1,
4,F,unknown,1A (not counterbalanced),11,Horse,11,Polysemous,Same,Y,1,
4,F,unknown,1A (not counterbalanced),12,Horse,12,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),1,Chicken,1,Polysemous,Same,Y,1,
5,M,unknown,1A (not counterbalanced),2,Chicken,2,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),3,Chicken,3,Polysemous,Same,Y,1,
5,M,unknown,1A (not counterbalanced),4,Chicken,4,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),5,Glass,5,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),6,Glass,6,Polysemous,Same,N,0,
5,M,unknown,1A (not counterbalanced),7,Glass,7,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),8,Glass,8,Polysemous,Same,Y,1,
5,M,unknown,1A (not counterbalanced),9,Horse,9,Polysemous,Same,Y,1,
5,M,unknown,1A (not counterbalanced),10,Horse,10,Polysemous,Different,Y,1,
5,M,unknown,1A (not counterbalanced),11,Horse,11,Polysemous,Same,Y,1,
5,M,unknown,1A (not counterbalanced),12,Horse,12,Polysemous,Different,Y,1,
6,M,24,1B (not counterbalanced),1,Chicken,1,Polysemous,Different,Y,1,
6,M,24,1B (not counterbalanced),2,Chicken,2,Polysemous,Same,Y,1,
6,M,24,1B (not counterbalanced),3,Chicken,3,Polysemous,Different,N,0,
6,M,24,1B (not counterbalanced),4,Chicken,4,Polysemous,Same,Y,1,
6,M,24,1B (not counterbalanced),5,Glass,5,Polysemous,Same,Y,1,
6,M,24,1B (not counterbalanced),6,Glass,6,Polysemous,Different,N,0,
6,M,24,1B (not counterbalanced),7,Glass,7,Polysemous,Same,N,0,
6,M,24,1B (not counterbalanced),8,Glass,8,Polysemous,Different,Y,1,
6,M,24,1B (not counterbalanced),9,Horse,9,Polysemous,Different,Y,1,
6,M,24,1B (not counterbalanced),10,Horse,10,Polysemous,Same,Y,1,
6,M,24,1B (not counterbalanced),11,Horse,11,Polysemous,Different,Y,1,
6,M,24,1B (not counterbalanced),12,Horse,12,Polysemous,Same,Y,1,
7,F,21,1B,1,Chicken,1,Unambiguous,Different,Y,0,Home Language- Mandarin/English
7,F,21,1B,2,Chicken,4,Unambiguous,Same,N,1,Home Language- Mandarin/English
7,F,21,1B,3,Chicken,7,Unambiguous,Different,Y,0,Home Language- Mandarin/English
7,F,21,1B,4,Chicken,10,Unambiguous,Same,N,1,Home Language- Mandarin/English
7,F,21,1B,5,Glass,2,Unambiguous,Same,N,1,Home Language- Mandarin/English
7,F,21,1B,6,Glass,5,Unambiguous,Different,N,1,Home Language- Mandarin/English
7,F,21,1B,7,Glass,8,Unambiguous,Same,Y,0,Home Language- Mandarin/English
7,F,21,1B,8,Glass,11,Unambiguous,Different,N,1,Home Language- Mandarin/English
7,F,21,1B,9,Horse,3,Unambiguous,Different,N,1,Home Language- Mandarin/English
7,F,21,1B,10,Horse,6,Unambiguous,Same,N,1,Home Language- Mandarin/English
7,F,21,1B,11,Horse,9,Unambiguous,Different,N,1,Home Language- Mandarin/English
7,F,21,1B,12,Horse,12,Unambiguous,Same,Y,0,Home Language- Mandarin/English
8,F,24,1B,1,Chicken,1,Polysemous,Different,N,0,
8,F,24,1B,2,Chicken,4,Polysemous,Same,Y,1,
8,F,24,1B,3,Chicken,7,Polysemous,Different,Y,1,
8,F,24,1B,4,Chicken,10,Polysemous,Same,Y,1,
8,F,24,1B,5,Glass,2,Polysemous,Same,N,0,
8,F,24,1B,6,Glass,5,Polysemous,Different,N,0,
8,F,24,1B,7,Glass,8,Polysemous,Same,N,0,
8,F,24,1B,8,Glass,11,Polysemous,Different,Y,1,
8,F,24,1B,9,Horse,3,Polysemous,Different,Y,1,
8,F,24,1B,10,Horse,6,Polysemous,Same,Y,1,
8,F,24,1B,11,Horse,9,Polysemous,Different,Y,1,
