ID,gender,location,exp,YOT,MOT,DOT,YOB,MOB,DOB,age.months,age.yrs,age,eng.mono,langs,concept.type,list,question.number,Order,trial type,label,triad.type,regularity,animacy,superordinate.match,direction,sequence,exclude,comments
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,A,,training,yes,,,,0,R,2,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,B,,training,no,,,,0,R,2,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,1,1,critical,no,chicken,regular,animate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,5,2,critical,yes,glass,irregular,inanimate,0,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,9,3,critical,no,horse,regular,animate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,2,4,critical,yes,chicken,regular,animate,1,R,2,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,6,5,critical,no,glass,irregular,inanimate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,10,6,critical,yes,horse,regular,animate,1,R,2,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,3,7,critical,no,chicken,regular,animate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,7,8,critical,yes,glass,irregular,inanimate,0,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,11,9,critical,no,horse,regular,animate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,4,10,critical,yes,chicken,regular,animate,1,R,2,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,8,11,critical,no,glass,irregular,inanimate,1,L,1,no,
030316-TH,F,LAB,PP,2016,3,3,1997,8,4,222.9671233,18.58059361,18,yes,0,Polysemous,1B,12,12,critical,yes,horse,regular,animate,1,L,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,A,,training,yes,,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,B,,training,no,,,,1,L,1,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,12,1,critical,yes,horse,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,8,2,critical,no,glass,,,1,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,4,3,critical,yes,chicken,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,11,4,critical,no,horse,,,1,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,7,5,critical,yes,glass,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,3,6,critical,no,chicken,,,1,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,10,7,critical,yes,horse,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,6,8,critical,no,glass,,,1,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,2,9,critical,yes,chicken,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,9,10,critical,no,horse,,,0,L,1,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,5,11,critical,yes,glass,,,0,R,2,no,
030316-ZR,M,LAB,PP,2016,3,3,1995,10,1,245.0657534,20.42214612,20,yes,0,Non-Polysemous,1B Backwards,1,12,critical,no,chicken,,,1,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,A,,training,yes,,,,0,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,B,,training,no,,,,1,L,1,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,1,1,critical,yes,chicken,regular,animate,1,L,1,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,5,2,critical,no,glass,irregular,inanimate,1,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,9,3,critical,yes,horse,regular,animate,0,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,2,4,critical,no,chicken,regular,animate,1,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,6,5,critical,yes,glass,irregular,inanimate,0,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,10,6,critical,no,horse,regular,animate,1,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,3,7,critical,yes,chicken,regular,animate,1,L,1,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,7,8,critical,no,glass,irregular,inanimate,1,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,11,9,critical,yes,horse,regular,animate,1,L,1,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,4,10,critical,no,chicken,regular,animate,1,R,2,no,subject asked to repeat trial
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,8,11,critical,yes,glass,irregular,inanimate,0,R,2,no,
030316-LM,F,LAB,PP,2016,3,3,1991,7,10,295.769863,24.64748858,24,yes,0,Polysemous,1A,12,12,critical,no,horse,regular,animate,1,R,2,no,
030316-NS,F,LAB,PP,2016,3,3,1993,7,25,271.2767123,22.60639269,22,no,"eng, japanese",Polysemous,1B Backwards,A,,training,yes,,,,1,L,1,no,
030316-NS,F,LAB,PP,2016,3,3,1993,7,25,271.2767123,22.60639269,22,no,"eng, japanese",Polysemous,1B Backwards,B,,training,no,,,,0,L,1,no,
030316-NS,F,LAB,PP,2016,3,3,1993,7,25,271.2767123,22.60639269,22,no,"eng, japanese",Polysemous,1B Backwards,12,1,critical,yes,horse,regular,animate,1,L,1,no,
030316-NS,F,LAB,PP,2016,3,3,1993,7,25,271.2767123,22.60639269,22,no,"eng, japanese",Polysemous,1B Backwards,8,2,critical,no,glass,irregular,inanimate,1,R,2,no,
030316-NS,F,LAB,PP,2016,3,3,1993,7,25,271.2767123,22.60639269,22,no,"eng, japanese",Polysemous,1B Backwards,4,3,critical,yes,chicken,regular,animate,1,L,1,no,
